coin,strategy,filter,param,annual_pct,max_dd_pct,calmar,sharpe,trades,pct_in_pos
MATIC,A_cycle,min_hold,168,14.44,0.88,16.41,34.22,9,48.4
MATIC,A_cycle,cooldown,24,14.76,0.5,29.82,34.88,10,46.8
MATIC,A_cycle,cooldown,72,14.62,0.5,29.53,35.02,9,45.6
MATIC,A_cycle,cooldown,168,14.27,0.48,29.64,35.2,8,44.1
MATIC,A_cycle,signal_ma,6,15.1,0.18,84.82,36.25,9,45.8
MATIC,A_cycle,signal_ma,12,14.72,0.21,69.93,35.72,9,43.4
MATIC,A_cycle,signal_ma,24,14.57,0.21,69.35,35.22,9,40.9
MATIC,A_spot_keep,baseline,0,6.74,24.47,0.28,0.31,11,47.6
MATIC,A_spot_keep,min_hold,24,0.05,22.8,0.0,0.0,14,44.1
MATIC,A_spot_keep,min_hold,72,6.74,24.47,0.28,0.31,11,47.6
MATIC,A_spot_keep,min_hold,168,-0.09,21.77,-0.0,-0.0,9,48.4
MATIC,A_spot_keep,cooldown,24,6.98,23.11,0.3,0.32,10,46.8
MATIC,A_spot_keep,cooldown,72,2.84,23.11,0.12,0.13,9,45.6
MATIC,A_spot_keep,cooldown,168,12.32,18.66,0.66,0.54,8,44.1
MATIC,A_spot_keep,signal_ma,6,10.69,20.45,0.52,0.48,9,45.8
MATIC,A_spot_keep,signal_ma,12,9.99,19.04,0.52,0.43,9,43.4
MATIC,A_spot_keep,signal_ma,24,8.56,18.97,0.45,0.36,9,40.9
