time,ret_net_lo5,equity_lo5,ret_net_ls5,equity_ls5,ret_net_lo10,equity_lo10,ret_net_ls10,equity_ls10,ret_net_btc,equity_btc,ret_net_ew,equity_ew
2024-01-23 00:00:00+00:00,0.0162309292196053,1.4681436676626687,0.010073007514955918,1.2140759968466253,0.01589759588627197,1.465028621390342,0.009073007514955917,1.2076820775638883,0.008329453937801379,1.151222754042209,-0.00712578213551478,1.9453729102700061
2024-01-24 00:00:00+00:00,0.006194398239652657,1.4772379342131954,-0.018284390516457694,1.1918773572036239,0.006194398239652657,1.474103592103723,-0.018284390516457694,1.1856003468379832,0.004694016682707636,1.1566266128551959,0.010287006066873772,1.9653849732002857
2024-01-25 00:00:00+00:00,-0.028103724343424747,1.4357220465204175,-0.0013421416213029724,1.1902776889950324,-0.028103724343424747,1.4326757910975878,-0.0013421416213029724,1.1840091032662607,-0.003088196846292135,1.1530547221970389,-0.0184037889072939,1.9292144430319402
2024-01-26 00:00:00+00:00,0.05379453082379326,1.5129560404063596,-0.0058245270007399146,1.1833448844571026,0.05379453082379326,1.5097459131022894,-0.0058245270007399146,1.1771128102751647,0.04660583582680067,1.2067938012790713,0.04595754492460937,2.017876402466786
2024-01-27 00:00:00+00:00,0.007094630858091255,1.523689905017562,-0.02391546874677153,1.1550446368562168,0.007094630858091255,1.5204570030452622,-0.02391546874677153,1.1489616056496046,0.007104138318376307,1.215367031365117,0.01206812635437812,2.042228389859273
2024-01-28 00:00:00+00:00,-0.0018593761307581502,1.5208567923774952,-0.036034585549736,1.1134230820756577,-0.0018593761307581502,1.5176299015859558,-0.036034585549736,1.1075592503774618,-0.0021265114030820653,1.212782539513989,0.005241242939857106,2.0529322049891987
2024-01-29 00:00:00+00:00,0.037249369727013606,1.5775077493386043,-0.0036660777797487346,1.1093411864550007,0.037249369727013606,1.5741606588989023,-0.0036660777797487346,1.1034988520198978,0.03025476873531141,1.2494749947732084,0.03667286264547315,2.1282191057632356
2024-01-30 00:00:00+00:00,0.0008866447119400731,1.5789064382425997,-0.003179891693353346,1.1058136016310978,0.0005533113786067397,1.5750316599032261,-0.004513225026686679,1.0985185133840416,-0.008350518558888909,1.2390412306404872,-0.0036720297224150282,2.1204042219510617
2024-01-31 00:00:00+00:00,-0.05507892353057571,1.4919419712687019,0.011439356001476827,1.118463397091431,-0.05507892353057571,1.4882806115491805,0.011439356001476827,1.1110848577328547,-0.008409193057467013,1.22862189372587,-0.04593645564485676,2.0230003674602397
2024-02-01 00:00:00+00:00,0.02252566670753753,1.5255489588604871,0.01881042689533019,1.1395021710575222,0.02252566670753753,1.5218051245722275,0.01881042689533019,1.131984838223747,0.011811648661343321,1.2431339438721942,0.019864320525614137,2.063185895182905
2024-02-02 00:00:00+00:00,0.016941556665464336,1.5513941329929621,0.0001139784823711576,1.139632049785638,0.016941556665464336,1.5475868723239619,0.0001139784823711576,1.1321138601376748,0.0027170847671955656,1.246511644174673,0.023033694209007277,2.110708688188885
2024-02-03 00:00:00+00:00,-0.005040605188352253,1.5435741676770185,0.0033047254371138353,1.1433982208095148,-0.005040605188352253,1.5397860979059,0.0033047254371138353,1.135855185608981,-0.004372916666666726,1.2410607526306676,-0.012901410490589202,2.083477568976507
2024-02-04 00:00:00+00:00,-0.016698937482215365,1.5177981191518173,-0.004141668270188248,1.1386626446781984,-0.016698937482215365,1.514073306120985,-0.004141668270188248,1.1311508502272154,-0.00995580442160382,1.2287049945021482,-0.012070559078660142,2.0583288298911127
2024-02-05 00:00:00+00:00,0.008676257557664657,1.5309669265541175,-0.007932951385650163,1.1296296892733104,0.008676257557664657,1.5272097960860755,-0.007932951385650163,1.122177485522526,0.0029547085589325395,1.232335459665807,0.009873711058034093,2.078652174019879
2024-02-06 00:00:00+00:00,-0.010962106247675647,1.5141843044435537,-0.019507186105307845,1.107593792694575,-0.011628772914342314,1.5094502201748317,-0.020507186105307842,1.099164782983729,0.009137482526979213,1.24359590339588,0.011212677829806877,2.1019594311673915
2024-02-07 00:00:00+00:00,0.043369226331008814,1.5798533062498272,0.019817623811512163,1.129543669814162,0.043369226331008814,1.574913908408985,0.019817623811512163,1.120947617159763,0.029018108329785353,1.279682704039099,0.03135209287088043,2.167860258464174
2024-02-08 00:00:00+00:00,0.011996233980144488,1.5988055961659051,0.01433564267909641,1.145736404255053,0.011996233980144488,1.5938069441528429,0.01433564267909641,1.1370171216613498,0.021173809910348673,1.3067784623599839,0.0024693608301263143,2.173213487671613
2024-02-09 00:00:00+00:00,0.007260405183080093,1.6104135726030453,-0.04175847422033385,1.0978922001546705,0.007260405183080093,1.605378628350999,-0.04175847422033385,1.0895370214983762,0.04071925305788526,1.3599895052594142,0.03795990140806998,2.2557084574023154
2024-02-10 00:00:00+00:00,0.014991439804489026,1.634555990737056,0.012407784009056844,1.111514609439418,0.014991439804489026,1.6294455654213362,0.012407784009056844,1.103055761530999,0.013118685789101692,1.3778307802553884,0.008657116726381328,2.275236388818733
2024-02-11 00:00:00+00:00,0.011269344614247223,1.6529763654879543,0.010649191937156858,1.1233513418562924,0.011269344614247223,1.6478083490282263,0.010649191937156858,1.1148024140529296,0.011495025558578842,1.3936689802898208,0.004940777705085654,2.286477826042408
2024-02-12 00:00:00+00:00,0.03099325724964045,1.7042074872110984,-0.00519350915433181,1.1175172063788308,0.03099325724964045,1.6988792970877635,-0.00519350915433181,1.1090126775102744,0.03348406490353306,1.440334682879886,0.03886336216836966,2.3753380418858403
2024-02-13 00:00:00+00:00,-0.009303553118302405,1.6883523023292213,0.018640634264654454,1.138348435907397,-0.009970219784969073,1.681941097107665,0.017640634264654457,1.1285763645490983,-0.004360815405169416,1.4340536492061835,-0.01989579882689846,2.3280787940586007
2024-02-14 00:00:00+00:00,0.0335680599282752,1.7450270135938502,0.010390196251900186,1.1501760995595185,0.0335680599282752,1.7384005966512042,0.010390196251900186,1.1403024944620195,0.04216493536465804,1.4945204286344143,0.03336563206565465,2.405756614521013
2024-02-15 00:00:00+00:00,-0.014415106685915797,1.7198722630230896,-0.0006589784952521285,1.1494181582441558,-0.014415106685915797,1.7133413665876174,-0.0006589784952521285,1.1395510596400866,0.001637797501195637,1.4969681504579175,-0.003036698732317414,2.398451056459433
2024-02-16 00:00:00+00:00,-0.014113074989713073,1.6955995768023173,-0.01592237136612562,1.1311166954736243,-0.014113074989713073,1.689160851397989,-0.01592237136612562,1.1214067044778353,0.004705281418658558,1.5040118068805908,-0.009725588599890395,2.375124708207336
2024-02-17 00:00:00+00:00,0.0008618291975424066,1.697060894024946,-0.021810791648145145,1.1064461448989107,0.0008618291975424066,1.6906166195390693,-0.021810791648145145,1.096947936493636,-0.00923699224792518,1.4901192614796468,0.00397850446226882,2.384574152457384
2024-02-18 00:00:00+00:00,0.014803273871014358,1.722182951214986,-0.009609681358614989,1.0958135500059643,0.014803273871014358,1.7156432803689947,-0.009609681358614989,1.0864066163569421,0.009585683458475325,1.5044030730355678,0.02013265201469034,2.4325819540720333
2024-02-19 00:00:00+00:00,-0.00918401291465091,1.706366400749636,-0.006023230289187017,1.0892132126402667,-0.00918401291465091,1.6998867903251518,-0.006023230289187017,1.0798629391189278,-0.0069611856456185395,1.4939306439583282,0.005685853827024246,2.446413259485144
2024-02-20 00:00:00+00:00,0.002444741472134544,1.7105380254562055,0.03596466781842589,1.1283864040163143,0.002111408138801211,1.703475945129285,0.03496466781842589,1.1176199880746502,0.009349928044047662,1.5078987879821364,-0.016301781761873763,2.4065323644296632
2024-02-21 00:00:00+00:00,-0.03932866784300574,1.6432648436202075,-0.014554021475235584,1.1119638440598971,-0.03932866784300574,1.636480505504745,-0.014554021475235584,1.1013541227670594,-0.007834658340927003,1.4960849161655985,-0.03221036249240843,2.3290170846216713
2024-02-22 00:00:00+00:00,-0.02298140680437033,1.6055003057616515,-0.01413862494039527,1.096242204321454,-0.02298140680437033,1.5988718812803189,-0.01413862494039527,1.0857824898986979,-0.010819220824005882,1.4798984430861386,-0.017900647837737614,2.2873261699817844
2024-02-23 00:00:00+00:00,-0.019046672521305836,1.5749208672049528,-0.018749948574530936,1.0756877193651961,-0.019046672521305836,1.5684186921540484,-0.018749948574530936,1.065424124049971,-0.010611947102289299,1.4641938390913483,0.032650778356307836,2.3620091497864424
