time,trend_only,carry_only,static_50_50,hard_er,soft_er,hard_mom,soft_mom
2024-03-29 00:00:00+00:00,-0.004947646852940948,0.0011787567278223055,-0.0018844450625593212,0.0011787567278223055,-0.0003528441673685079,-0.004947646852940948,-0.0034160459577501348
2024-03-30 00:00:00+00:00,0.0021318536425304346,0.0013104275225652717,0.0017211405825478532,0.0013104275225652717,0.0015157840525565625,0.0021318536425304346,0.001926497112539144
2024-03-31 00:00:00+00:00,0.03557271377091098,0.0013194687481896672,0.018446091259550323,0.0013194687481896672,0.009882780003869995,0.03557271377091098,0.02700940251523065
2024-04-01 00:00:00+00:00,-0.03737239437193163,0.0009364008646850497,-0.01821799675362329,0.0009364008646850497,-0.00864079794446912,-0.03737239437193163,-0.02779519556277746
2024-04-02 00:00:00+00:00,-0.05999329566736289,0.0004330788446538225,-0.029780108411354533,0.0004330788446538225,-0.014673514783350355,-0.05999329566736289,-0.04488670203935871
2024-04-03 00:00:00+00:00,0.011677987720405127,0.0003923753812544728,0.0060351815508298,0.0003923753812544728,0.0032137784660421363,0.011677987720405127,0.008856584635617464
2024-04-04 00:00:00+00:00,0.010102016979386985,0.00034676349053475164,0.005224390234960868,0.00034676349053475164,0.00278557686274781,0.010102016979386985,0.007663203607173926
2024-04-05 00:00:00+00:00,-0.02151783053566855,0.00024637908183522406,-0.010635725726916663,0.00024637908183522406,-0.005194673322540719,-0.02151783053566855,-0.016076778131292605
2024-04-06 00:00:00+00:00,0.01634938587844301,0.00035042563260478943,0.0083499057555239,0.00035042563260478943,0.004350165694064345,0.01634938587844301,0.012349645816983456
2024-04-07 00:00:00+00:00,0.01058949033581387,0.0003354666448907029,0.005462478490352286,0.0003354666448907029,0.0028989725676214946,0.01058949033581387,0.008025984413083078
2024-04-08 00:00:00+00:00,0.028479681160695353,0.00042509733088724744,0.0144523892457913,0.00042509733088724744,0.007438743288339274,0.028479681160695353,0.021466035203243326
2024-04-09 00:00:00+00:00,-0.03807419875329574,0.00045121139197079607,-0.018811493680662473,0.00045121139197079607,-0.009180141144345838,-0.03807419875329574,-0.02844284621697911
2024-04-10 00:00:00+00:00,0.011367277880591109,0.00033851111381588694,0.005852894497203498,0.00033851111381588694,0.0030957028055096925,0.011367277880591109,0.008610086188897303
2024-04-11 00:00:00+00:00,-0.006995659058323144,0.0003483157224581923,-0.0033236716679324757,0.0003483157224581923,-0.0014876779727371417,-0.0001516842775418077,-0.0017376779727371417
2024-04-12 00:00:00+00:00,-0.06543385324401489,0.0003646111115158668,-0.03253462106624951,0.0003646111115158668,-0.016085004977366823,0.0003646111115158668,-0.016085004977366823
2024-04-13 00:00:00+00:00,-0.05569749792181397,0.00013275211240948437,-0.027782372904702243,0.00013275211240948437,-0.01382481039614638,0.00013275211240948437,-0.01382481039614638
2024-04-14 00:00:00+00:00,0.04413151773830634,7.640314340506826e-05,0.022103960440855705,7.640314340506826e-05,0.011090181792130387,7.640314340506826e-05,0.011090181792130387
