time,coin,position_delta,new_position
2024-08-30 18:00:00+00:00,BTC,-1.0,0.0
2024-09-01 05:00:00+00:00,BTC,1.0,1.0
2024-09-02 09:00:00+00:00,BTC,-1.0,0.0
2024-09-02 22:00:00+00:00,BTC,-1.0,-1.0
2024-09-03 13:00:00+00:00,BTC,1.0,0.0
2024-09-04 01:00:00+00:00,BTC,1.0,1.0
2024-09-04 14:00:00+00:00,BTC,-1.0,0.0
2024-09-06 14:00:00+00:00,BTC,1.0,1.0
2024-09-07 14:00:00+00:00,BTC,-1.0,0.0
2024-09-08 23:00:00+00:00,BTC,-1.0,-1.0
2024-09-11 01:00:00+00:00,BTC,1.0,0.0
2024-09-12 01:00:00+00:00,BTC,-1.0,-1.0
2024-09-12 14:00:00+00:00,BTC,1.0,0.0
2024-09-13 15:00:00+00:00,BTC,-1.0,-1.0
2024-09-15 08:00:00+00:00,BTC,1.0,0.0
2024-09-15 22:00:00+00:00,BTC,1.0,1.0
2024-09-17 05:00:00+00:00,BTC,-1.0,0.0
2024-09-17 14:00:00+00:00,BTC,-1.0,-1.0
2024-09-18 09:00:00+00:00,BTC,1.0,0.0
2024-09-18 23:00:00+00:00,BTC,-1.0,-1.0
2024-09-20 13:00:00+00:00,BTC,1.0,0.0
