ts_ms,coin,funding_rate,annualized_pct
1774623619000,ETH,-5.2563e-06,-4.6045
1774623606000,SOL,-1.97625e-05,-17.312
1774620018000,BTC,4.6242e-06,4.0508
1774620018000,SOL,-1.98989e-05,-17.4314
1774620001000,ETH,-4.1756e-06,-3.6579
1774616419000,BTC,2.2575e-06,1.9776
1774616419000,ETH,-1.5774e-06,-1.3818
1774616410000,SOL,-2.06599e-05,-18.098
1774612818000,BTC,6.596e-06,5.7781
1774612818000,ETH,-2.2604e-06,-1.9801
1774612809000,SOL,-2.22265e-05,-19.4704
1774609208000,BTC,5.0558e-06,4.4289
1774609208000,ETH,3.989e-07,0.3494
1774609201000,SOL,-2.04586e-05,-17.9218
1774605608000,ETH,3.9576e-06,3.4669
1774605608000,SOL,-1.69898e-05,-14.883
1774605606000,BTC,5.6696e-06,4.9665
1774602016000,ETH,9.8641e-06,8.641
1774602009000,SOL,-1.48317e-05,-12.9926
1774602005000,BTC,6.1643e-06,5.3999
1774598405000,ETH,9.1709e-06,8.0337
1774598405000,SOL,-1.31735e-05,-11.54
1774598404000,BTC,8.5312e-06,7.4733
1774594812000,ETH,1.13438e-05,9.9371
1774594810000,BTC,1.18976e-05,10.4223
1774594807000,SOL,-1.41665e-05,-12.4098
1774591212000,BTC,1.50151e-05,13.1532
1774591212000,ETH,1.46692e-05,12.8502
1774591212000,SOL,-9.8588e-06,-8.6363
1774587601000,BTC,2.11087e-05,18.4912
1774587601000,ETH,1.88077e-05,16.4756
1774587601000,SOL,-1.7924e-06,-1.5701
1774584011000,BTC,2.26129e-05,19.8089
1774584011000,ETH,2.64256e-05,23.1488
1774584011000,SOL,4.5459e-06,3.9823
1774580415000,ETH,4.58851e-05,40.1953
1774580415000,SOL,-7.3474e-06,-6.4363
1774580406000,BTC,2.50076e-05,21.9067
1774576814000,SOL,6.189e-06,5.4215
1774576813000,ETH,4.48351e-05,39.2755
1774576800000,BTC,2.96033e-05,25.9325
1774573214000,SOL,6.3963e-06,5.6031
1774573207000,BTC,2.86303e-05,25.0802
1774573201000,ETH,4.06377e-05,35.5986
1774569604000,BTC,2.83056e-05,24.7957
1774569604000,ETH,3.2693e-05,28.6391
1774569604000,SOL,1.66341e-05,14.5714
1774566004000,BTC,2.97799e-05,26.0872
1774566004000,ETH,3.68741e-05,32.3017
1774566004000,SOL,2.34475e-05,20.54
1774562404000,BTC,3.03179e-05,26.5584
1774562404000,ETH,2.27932e-05,19.9669
1774562401000,SOL,2.21512e-05,19.4044
1774558803000,BTC,3.35003e-05,29.3463
1774558803000,ETH,2.83309e-05,24.8178
1774558803000,SOL,2.24235e-05,19.643
1774555203000,BTC,2.74755e-05,24.0685
1774555203000,ETH,1.98011e-05,17.3458
1774555203000,SOL,1.00057e-05,8.765
1774551613000,BTC,2.33793e-05,20.4803
1774551613000,ETH,1.52847e-05,13.3894
1774551613000,SOL,7.7826e-06,6.8176
1774548006000,BTC,2.27139e-05,19.8973
1774548006000,ETH,1.46657e-05,12.8471
1774548003000,SOL,2.4236e-05,21.2307
1774544413000,BTC,2.14216e-05,18.7653
1774544413000,ETH,1.46949e-05,12.8727
1774544407000,SOL,1.88478e-05,16.5107
1774540804000,BTC,1.91937e-05,16.8137
1774540804000,ETH,8.199e-06,7.1824
1774540804000,SOL,2.7893e-06,2.4434
1774537212000,BTC,1.94641e-05,17.0505
1774537212000,ETH,5.9411e-06,5.2044
1774537208000,SOL,6.2788e-06,5.5003
1774533611000,BTC,1.61558e-05,14.1525
